timestep,sim_initial,sim_approaching,sim_picking,sim_done,state_progress,state_prob_initial,state_prob_approaching,state_prob_picking,state_prob_done,done_detected,red_on_blue,task_complete,bidirectional_raw,bidirectional_ema,distance,current_state,state_confidence,done_confidence,episode_progress
0,0.6291849464178085,0.8435457319021225,0.6301263123750687,0.6214720904827118,0.38525172129273416,0.08721905201673508,0.7439921498298645,0.0880439430475235,0.08074487000703812,0,0,0,-0.0001193521171808376,-8.082221585797182e-05,0.28621047689922546,approaching,0.7439921498298645,0,0.0
1,0.6290497779846191,0.8437359750270843,0.629939079284668,0.6209333315491676,0.38490544848144054,0.0870402604341507,0.7448871731758118,0.08781776577234268,0.08025477826595306,0,0,0,-0.0003462728112936242,-0.00026663763266292846,0.28674239974787075,approaching,0.7448871731758118,0,-0.0003462728112936242
2,0.6298520714044571,0.843941268324852,0.6303400993347168,0.6215364560484886,0.3849506497383118,0.08747284859418869,0.7441331744194031,0.0879007875919342,0.08049317449331284,0,0,0,4.520125687124121e-05,-4.8350409989009705e-05,0.28741096958311035,approaching,0.7441331744194031,0,-0.000301071554422383
3,0.6295889914035797,0.8432143002748489,0.6300337165594101,0.6216775923967361,0.3853307670354843,0.08774975687265396,0.7430341243743896,0.08814093470573425,0.08107507973909378,0,0,0,0.00038011729717252196,0.0002515769850240624,0.2881627619743144,approaching,0.7430341243743896,0,7.904574275013898e-05
4,0.6306666731834412,0.8441538482904434,0.6315379291772842,0.6223688125610352,0.3853025537729263,0.08783428370952606,0.7427228093147278,0.08860287070274353,0.080840103328228,0,0,0,-2.8213262557974517e-05,5.572381171663658e-05,0.2889611133677196,approaching,0.7427228093147278,0,5.0832480192164464e-05
5,0.6308340430259705,0.8442538499832153,0.6339194476604462,0.6222735717892647,0.3857639966905117,0.08772271126508713,0.7412800788879395,0.09047152101993561,0.08052565157413483,0,0,0,0.00046144291758537515,0.00033972718582475354,0.28978117554298416,approaching,0.7412800788879395,0,0.0005122753977775396
6,0.630932942032814,0.844917756319046,0.6337057203054428,0.62312251329422,0.38582165248692035,0.08732758462429047,0.7421230673789978,0.08978288620710373,0.08076650649309158,0,0,0,5.765579640865104e-05,0.0001422772132334818,0.29060625680416846,approaching,0.7421230673789978,0,0.0005699311941861906
7,0.6312637031078339,0.8452893316745758,0.6340295523405075,0.6234624683856964,0.38580748073756693,0.08730108290910721,0.7422000765800476,0.08974940329790115,0.08074935525655746,0,0,0,-1.4171749353419916e-05,3.27629394226506e-05,0.29142521814054173,approaching,0.7422000765800476,0,0.0005557594448327707
8,0.6311078071594238,0.8450969129800796,0.6333058327436447,0.6223514080047607,0.3852058305591345,0.08743634074926376,0.7430784106254578,0.08937949687242508,0.08010569214820862,0,0,0,-0.0006016501784324446,-0.000411326243075916,0.2922306635955326,approaching,0.7430784106254578,0,-4.589073359967388e-05
9,0.6294260323047638,0.8431121230125427,0.6322296857833862,0.6213088855147362,0.3858011339604855,0.0875406265258789,0.7417141199111938,0.09002970159053802,0.08071557432413101,0,0,0,0.0005953034013509995,0.00029331450802292476,0.2923433484488714,approaching,0.7417141199111938,0,0.0005494126677513256
10,0.6288601607084274,0.842524853348732,0.6306315213441849,0.6199987158179283,0.3851785406470299,0.087688148021698,0.7428046464920044,0.08925521373748779,0.0802520141005516,0,0,0,-0.0006225933134555994,-0.00034782096701204215,0.2919742188269051,approaching,0.7428046464920044,0,-7.318064570427385e-05
11,0.627975195646286,0.8424371749162674,0.6302658021450043,0.619014598429203,0.38493543066084385,0.08713646233081818,0.7440400123596191,0.08915542811155319,0.0796680897474289,0,0,0,-0.00024310998618604085,-0.00027452328043384123,0.2912804703976961,approaching,0.7440400123596191,0,-0.0003162906318903147
12,0.628894716501236,0.8428640782833099,0.6314565390348434,0.6203246563673019,0.3853985372185707,0.08740758895874023,0.7426878213882446,0.08967581391334534,0.0802287608385086,0,0,0,0.0004631065577268556,0.0002418176062786465,0.29037417594289483,approaching,0.7426878213882446,0,0.0001468159258365409
13,0.6291825771331787,0.8423884630203247,0.6311236023902893,0.6206090524792671,0.3855527456849814,0.08795350044965744,0.74164217710495,0.0896773710846901,0.0807269886136055,0,0,0,0.00015420846641067687,0.00018049120837106776,0.2893333096180792,approaching,0.74164217710495,0,0.0003010243922472178
14,0.6309307664632797,0.8436662375926971,0.631985068321228,0.6219455227255821,0.38531594187021256,0.0883602648973465,0.7415758371353149,0.08929675817489624,0.08076708763837814,0,0,0,-0.00023680381476881562,-0.00011161530782685059,0.2882113146010958,approaching,0.7415758371353149,0,6.422057747840215e-05
15,0.631265789270401,0.8447095721960067,0.6322823464870453,0.6223058849573135,0.3850288891792297,0.08789806067943573,0.7429406642913818,0.08879619836807251,0.08036501705646515,0,0,0,-0.00028705269098283637,-0.00023442147603604062,0.28763247497320404,approaching,0.7429406642913818,0,-0.00022283211350443421
16,0.6318488419055939,0.8464754045009613,0.6345824748277664,0.6228703707456589,0.3849721755087376,0.08699658513069153,0.7440698146820068,0.08940757811069489,0.07952605932950974,0,0,0,-5.6713670492147816e-05,-0.00011002601215531566,0.287387684989594,approaching,0.7440698146820068,0,-0.00027954578399658203
17,0.6320521831512451,0.8463012993335723,0.6347659975290298,0.622488260269165,0.3848352286964655,0.08728337287902832,0.7437097430229187,0.08968447893857956,0.07932241261005402,0,0,0,-0.00013694681227205407,-0.00012887057223703256,0.287349554209663,approaching,0.7437097430229187,0,-0.0004164925962686361
18,0.6322833597660065,0.8472008377313613,0.6361163258552551,0.6231056675314903,0.3850371596962214,0.08673659712076187,0.7440071105957031,0.09012576192617416,0.07913055270910263,0,0,0,0.0002019309997558505,0.00010269052815798558,0.28743828903043445,approaching,0.7440071105957031,0,-0.0002145615965127856
19,0.6312585473060608,0.8469418853521347,0.6343451887369156,0.622477300465107,0.3847263083606959,0.08627381175756454,0.7457268238067627,0.08897828310728073,0.07902100682258606,0,0,0,-0.00031085133552549715,-0.0001867887764204523,0.2876026254352313,approaching,0.7457268238067627,0,-0.0005254129320382828
20,0.6321852803230286,0.8481635570526123,0.6345324963331223,0.6232120916247368,0.38432611495256425,0.08615358918905258,0.7468870282173157,0.08819973468780518,0.0787595734000206,0,0,0,-0.00040019340813163273,-0.00033617201861827856,0.28780896132953476,approaching,0.7468870282173157,0,-0.0009256063401699155
21,0.6337504088878632,0.8496430039405822,0.6362272202968597,0.6246407106518745,0.3843273963779211,0.08620817959308624,0.7467198371887207,0.08837003260850906,0.0787019282579422,0,0,0,1.2814253568804723e-06,-9.995460783566726e-05,0.288034939289255,approaching,0.7467198371887207,0,-0.000924324914813035
22,0.634862020611763,0.8497163772583007,0.6367807239294052,0.6250747740268707,0.3842782609909773,0.0869678258895874,0.7455201745033264,0.08865264803171158,0.07885932922363281,0,0,0,-4.9135386943843784e-05,-6.438115321139083e-05,0.28826552385740206,approaching,0.7455201745033264,0,-0.0009734603017568788
23,0.6378245502710342,0.8529515236616134,0.6403535902500153,0.627393513917923,0.3840118051320315,0.08678803592920303,0.7460097670555115,0.08901088684797287,0.07819128781557083,0,0,0,-0.00026645585894580215,-0.00020583344722547873,0.2884905291743385,approaching,0.7460097670555115,0,-0.001239916160702681
