timestep,sim_initial,sim_approaching,sim_picking,sim_done,state_progress,state_prob_initial,state_prob_approaching,state_prob_picking,state_prob_done,done_detected,red_on_blue,task_complete,bidirectional_raw,bidirectional_ema,distance,current_state,state_confidence,done_confidence,episode_progress
0,0.6313685923814774,0.8398023068904876,0.6254628002643585,0.6293489634990692,0.3890322157740593,0.09122493863105774,0.7333807349205017,0.08599334955215454,0.08940102905035019,0,0,0,0.0010360327363013733,0.00805715831433979,0.21217047056797148,approaching,0.7333807349205017,0,0.0
1,0.6345812529325485,0.8439906656742096,0.6300735324621201,0.6306777000427246,0.3879358392208815,0.09061479568481445,0.7356186509132385,0.08662081509828568,0.08714573830366135,0,0,0,-0.0010963765531777914,0.0016496839070774838,0.2123938710168494,approaching,0.7356186509132385,0,-0.0010963765531777914
2,0.6356094628572464,0.8449815332889556,0.631036251783371,0.6306493580341339,0.3873744679987431,0.09072791785001755,0.736262321472168,0.08667223155498505,0.08633750677108765,0,0,0,-0.000561371222138396,0.00010194531662636801,0.21288813339816867,approaching,0.736262321472168,0,-0.0016577477753161873
3,0.6361577659845352,0.8460958123207092,0.6352013796567917,0.6327359676361084,0.38884410068392755,0.08994463086128235,0.7340478897094727,0.0890885442495346,0.08691897243261337,0,0,0,0.0014696326851844632,0.0010593264746170345,0.21356789007871044,approaching,0.7340478897094727,0,-0.00018811509013172412
4,0.6359299123287201,0.845871952176094,0.6353422850370407,0.6346943527460098,0.39010613285005097,0.08974004536867142,0.7324076294898987,0.0892142727971077,0.0886380523443222,0,0,0,0.0012620321661234168,0.001201220458671502,0.21437342898039466,approaching,0.7324076294898987,0,0.0010739170759916927
5,0.6359988301992416,0.8446037590503692,0.6361214816570282,0.6360929161310196,0.3916043052077294,0.09045513719320297,0.7284384369850159,0.09056618809700012,0.09054027497768402,0,0,0,0.0014981723576784067,0.0014090867879763352,0.21526293766441423,approaching,0.7284384369850159,0,0.0025720894336700995
6,0.6360539793968201,0.8444106847047805,0.6355194598436356,0.63746777176857,0.392282954454422,0.09056352078914642,0.7275027632713318,0.09008073806762695,0.09185294806957245,0,0,0,0.0006786492466926419,0.0008977805090777499,0.21620703026946947,approaching,0.7275027632713318,0,0.0032507386803627414
7,0.6350045055150986,0.8443676352500915,0.6335767209529877,0.6379007697105408,0.3924346452206373,0.0898510292172432,0.7290802597999573,0.08857724815607071,0.09249140322208405,0,0,0,0.00015169076621529554,0.0003755176890740319,0.2171849383638279,approaching,0.7290802597999573,0,0.003402429446578037
8,0.6358471810817719,0.846900326013565,0.6349229365587234,0.6385719180107117,0.3916960287094116,0.08872288465499878,0.7321969866752625,0.08790662884712219,0.09117358177900314,0,0,0,-0.0007386165112256982,-0.0004043762511357791,0.218181878890769,approaching,0.7321969866752625,0,0.0026638129353523388
9,0.6366118341684341,0.8502562016248703,0.6380904614925385,0.6386381387710571,0.39073896907269956,0.08692152053117752,0.7361612915992737,0.08821634203195572,0.0887007936835289,0,0,0,-0.0009570596367120543,-0.0007912546210391717,0.21918720953554013,approaching,0.7361612915992737,0,0.0017067532986402845
