timestep,sim_initial,sim_approaching,sim_picking,sim_done,state_progress,state_prob_initial,state_prob_approaching,state_prob_picking,state_prob_done,done_detected,red_on_blue,task_complete,bidirectional_raw,bidirectional_ema,distance,current_state,state_confidence,done_confidence,episode_progress
0,0.6265141367912292,0.6506829112768173,0.6331628859043121,0.6265379786491394,0.49201559349894525,0.23028835654258728,0.29324838519096375,0.24611996114253998,0.23034325242042542,0,0,0,-0.00039591416716577843,-0.00021139251002665993,0.2862121587445104,approaching,0.29324838519096375,0,0.0
1,0.6270610988140106,0.6512056142091751,0.6333136856555939,0.6264879405498505,0.4911554178595543,0.23084594309329987,0.2938869595527649,0.24574044346809387,0.22952662408351898,0,0,0,-0.0008601756393909477,-0.0006655407005816613,0.2867437557249754,approaching,0.2938869595527649,0,-0.0008601756393909477
2,0.6271130293607712,0.6518020629882812,0.6336675584316254,0.6275196373462677,0.49217491403222086,0.2297871857881546,0.2941364049911499,0.24535314738750458,0.2307232916355133,0,0,0,0.0010194961726665563,0.0005139851106920909,0.28741206509828415,approaching,0.2941364049911499,0,0.0001593205332756087
3,0.626163050532341,0.6516100913286209,0.6337520182132721,0.6272293925285339,0.4930358049273491,0.22834482789039612,0.2945142090320587,0.24634820222854614,0.2307928204536438,0,0,0,0.0008608908951282523,0.000756819159797404,0.288163648231809,approaching,0.2945142090320587,0,0.001020211428403861
4,0.6275379061698914,0.6526721268892288,0.6349297016859055,0.62845179438591,0.4929214556515217,0.22874662280082703,0.29411086440086365,0.24629570543766022,0.23084674775600433,0,0,0,-0.00011434927582743004,0.0001470012548600202,0.2889618309251276,approaching,0.29411086440086365,0,0.000905862152576431
5,0.6287087798118591,0.6541292369365692,0.63698610663414,0.6275793015956879,0.4908008575439453,0.22912132740020752,0.295437216758728,0.24889343976974487,0.226547971367836,0,0,0,-0.002120598107576366,-0.0014403182988454498,0.28978175678843493,approaching,0.295437216758728,0,-0.0012147359549999348
6,0.6289563179016113,0.6549191474914551,0.6364108771085739,0.6274873614311218,0.4897849446535111,0.22939670085906982,0.29740092158317566,0.24715080857276917,0.22605159878730774,0,0,0,-0.001015912890434234,-0.0011432345129575986,0.29060672774687785,approaching,0.29740092158317566,0,-0.002230648845434169
7,0.6291779279708862,0.6540887802839279,0.6364496201276779,0.6276350617408752,0.49011687740683557,0.23025569319725037,0.2953908145427704,0.24762307107448578,0.22673045098781586,0,0,0,0.0003319327533244931,-0.00011061742656013444,0.2914255997457857,approaching,0.2953908145427704,0,-0.0018987160921096757
8,0.6289752423763275,0.6527140587568283,0.6355897188186646,0.6266172528266907,0.4894329328835011,0.23185664415359497,0.293978750705719,0.24771122634410858,0.22645342350006104,0,0,0,-0.0006839445233344787,-0.0005119463943021754,0.2922309728047853,approaching,0.293978750705719,0,-0.0025826606154441545
9,0.6280831098556519,0.6518202573060989,0.6344332545995712,0.6244027614593506,0.48779088839888574,0.2327021360397339,0.2950458228588104,0.24795840680599213,0.22429363429546356,0,0,0,-0.001642044484615357,-0.0013030150575214024,0.29301795243756257,approaching,0.2950458228588104,0,-0.0042247051000595115
10,0.6287418901920319,0.6534915864467621,0.6349509060382843,0.6241865158081055,0.4862535195052624,0.23253954946994781,0.2978404462337494,0.24743567407131195,0.22218427062034607,0,0,0,-0.0015373688936233254,-0.0014670627427927484,0.29378331104863714,approaching,0.2978404462337494,0,-0.005762073993682837
11,0.6312910914421082,0.6553023606538773,0.6365170776844025,0.6239326819777489,0.48296050146222114,0.23506739735603333,0.2988628149032593,0.24767856299877167,0.21839113533496857,0,0,0,-0.0032930180430412737,-0.002745231452966716,0.2945249245192524,approaching,0.2988628149032593,0,-0.00905509203672411
12,0.6333324164152145,0.6554894596338272,0.6387566179037094,0.6263551115989685,0.48432921558618547,0.23605063557624817,0.29459935426712036,0.249208003282547,0.22014206647872925,0,0,0,0.001368714123964332,0.00013453045088501726,0.2952413959321265,approaching,0.29459935426712036,0,-0.007686377912759779
13,0.632982462644577,0.6538617610931396,0.6383360475301743,0.6270429790019989,0.48606087192893027,0.23643352091312408,0.29133090376853943,0.24943606555461884,0.22279950976371765,0,0,0,0.0017316563427448028,0.001252518575186867,0.2959318055149355,approaching,0.29133090376853943,0,-0.005954721570014976
14,0.6346715688705444,0.6555932909250259,0.6405363976955414,0.6290528327226639,0.48664339244365695,0.23593378067016602,0.2908385396003723,0.2501847743988037,0.22304287552833557,0,0,0,0.000582520514726681,0.000783519932864737,0.2965955451956881,approaching,0.2908385396003723,0,-0.005372201055288295
15,0.6347617506980896,0.6557646691799164,0.6410901248455048,0.6292086243629456,0.4868942168354988,0.2355698198080063,0.29062581062316895,0.2509594261646271,0.22284488379955292,0,0,0,0.0002508243918418751,0.00041063305414873366,0.29723220960630525,approaching,0.29062581062316895,0,-0.00512137666344642
16,0.634691059589386,0.6544760316610336,0.6403774619102478,0.6285425573587418,0.4864706757664681,0.23709841072559357,0.28897058963775635,0.2509715259075165,0.2229594588279724,0,0,0,-0.00042354106903075284,-0.00017328883207690685,0.2978415245926919,approaching,0.28897058963775635,0,-0.005544917732477173
17,0.6326154917478561,0.653130441904068,0.6398787498474121,0.6290059685707092,0.4897766116261482,0.23432424664497375,0.2876816689968109,0.2519770860671997,0.22601701319217682,0,0,0,0.0033059358596801425,0.002262168452153028,0.2984233005537851,approaching,0.2876816689968109,0,-0.00223898187279703
18,0.6308662295341492,0.6525118350982666,0.6382823586463928,0.6285379827022552,0.4908037558197975,0.23279444873332977,0.2890534996986389,0.250715047121048,0.22743701934814453,0,0,0,0.0010271441936492987,0.0013976514712004174,0.2989774021578024,approaching,0.2890534996986389,0,-0.0012118376791477314
19,0.6319105625152588,0.65324467420578,0.6368924826383591,0.627519279718399,0.48746447324752806,0.23551993072032928,0.29152822494506836,0.2475506067276001,0.22540125250816345,0,0,0,-0.003339282572269453,-0.001918202359228492,0.29950372882001763,approaching,0.29152822494506836,0,-0.0045511202514171845
