timestep,stage_similarity_far,stage_similarity_approaching,stage_similarity_near,stage_similarity_touching,stage_progress,stage_prob_far,stage_prob_approaching,stage_prob_near,stage_prob_touching,bidirectional_raw,bidirectional_ema,bidirectional_norm,bidirectional_visual,distance,gt_raw,gt_norm,episode_progress
0,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.30412681192325103,-0.0002993491135533377,0.39174637615349794,0.0
1,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.3046258170900983,-0.000499005166847255,0.39074836581980343,0.0
2,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.30495818919274226,-0.0003323721026439741,0.3900836216145155,0.0
3,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.30518072123610734,-0.0002225320433650868,0.3896385575277853,0.0
4,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.30533028958013103,-0.00014956834402368724,0.38933942083973794,0.0
5,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.3054310754557205,-0.00010078587558948193,0.389137849088559,0.0
6,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.30610044178386914,-0.000669366328148624,0.3877991164322617,0.0
7,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.3071768973710506,-0.0010764555871814463,0.38564620525789883,0.0
8,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.3085615249986749,-0.001384627627624313,0.3828769500026502,0.0
9,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.3101898568618195,-0.0016283318631445942,0.379620286276361,0.0
10,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.3120175035987499,-0.0018276467369304217,0.3759649928025002,0.0
11,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.3140126086542565,-0.0019951050555065963,0.371974782691487,0.0
12,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.316151586353736,-0.002138977699479516,0.36769682729252795,0.0
13,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.31841657775977666,-0.0022649914060406395,0.36316684448044667,0.0
14,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.32001552579682035,-0.0015989480370436904,0.3599689484063593,0.0
15,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.32113063966054944,-0.0011151138637290892,0.3577387206789011,0.0
16,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.3219027258321309,-0.0007720861715814764,0.35619454833573816,0.0
17,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.3224349840748195,-0.0005322582426885991,0.35513003185036096,0.0
18,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.3228009783825295,-0.00036599430771000474,0.35439804323494095,0.0
19,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.32305231427080044,-0.00025133588827092046,0.3538953714583991,0.0
20,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.3232248259432514,-0.0001725116724509701,0.35355034811349717,0.0
21,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.3233432529605761,-0.00011842701732467376,0.3533134940788478,0.0
22,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.3234245995967528,-8.134663617670457e-05,0.3531508008064944,0.0
23,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.3234805356240776,-5.593602732478775e-05,0.35303892875184484,0.0
24,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.32351904955260957,-3.8513928531991315e-05,0.35296190089478086,0.0
25,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.3230524564672575,0.0004665930853520739,0.353895087065485,0.0
26,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.3222437870171216,0.0008086694501359126,0.35551242596575683,0.0
27,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.32120682557681596,0.0010369614403056282,0.3575863488463681,0.0
28,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.32081814325620794,0.00038868232060801367,0.3583637134875841,0.0
29,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.32084580311635524,-2.765986014729993e-05,0.3583083937672895,0.0
30,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.32113983271474744,-0.0002940295983921981,0.3577203345705051,0.0
31,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.3216021104912919,-0.0004622777765444508,0.3567957790174162,0.0
32,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.3221677227274098,-0.0005656122361178961,0.3556645545451804,0.0
33,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.3227933862889073,-0.0006256635614975137,0.3544132274221854,0.0
34,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.3234500635562091,-0.0006566772673017862,0.3530998728875818,0.0
35,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.3241182053208226,-0.0006681417646134946,0.35176358935835483,0.0
36,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.3247846026721552,-0.0006663973513326149,0.3504307946556896,0.0
