timestep,sim_initial,sim_approaching,sim_picking,sim_done,state_progress,state_prob_initial,state_prob_approaching,state_prob_picking,state_prob_done,done_detected,red_on_blue,task_complete,bidirectional_raw,bidirectional_ema,distance,current_state,state_confidence,done_confidence,episode_progress
0,0.6291862726211548,0.8435476541519165,0.6301249861717224,0.6221081539988518,0.38556673511862755,0.08717402815818787,0.7436126470565796,0.0879962295293808,0.08121708780527115,0,0,0,-0.00011395104229450226,-7.911362589344737e-05,0.28621040868938297,approaching,0.7436126470565796,0,0.0
1,0.6290496289730072,0.843736183643341,0.6299391984939575,0.6216368898749352,0.38525376506149767,0.08699072152376175,0.7444657683372498,0.08776798099279404,0.08077551424503326,0,0,0,-0.0003129700571298799,-0.00024281312775895013,0.286742344805109,approaching,0.7444657683372498,0,-0.0003129700571298799
2,0.6298520714044571,0.843941268324852,0.6303400993347168,0.6222253069281578,0.38529266804456713,0.08742421120405197,0.7437193989753723,0.08785191178321838,0.08100448548793793,0,0,0,3.890298306946649e-05,-4.561185017905851e-05,0.2874109252292655,approaching,0.7437193989753723,0,-0.0002740670740604134
3,0.6295889914035797,0.8432143002748489,0.6300337165594101,0.6223195195198059,0.3856515286117792,0.08770396560430527,0.7426463961601257,0.08809494227170944,0.0815546065568924,0,0,0,0.0003588605672120715,0.00023751884199473247,0.28816272611788063,approaching,0.7426463961601257,0,8.479349315165807e-05
4,0.6306634694337845,0.8441486030817031,0.6315311938524246,0.6228106692433357,0.3855240658670664,0.08780419081449509,0.7424535155296326,0.08856942504644394,0.0811728909611702,0,0,0,-0.00012746274471281405,-1.7968268700550066e-05,0.28896108435519496,approaching,0.7424535155296326,0,-4.2669251561155974e-05
5,0.6308340430259705,0.8442538499832153,0.6339194476604462,0.6227040588855743,0.3859773223847151,0.0876922458410263,0.7410227060317993,0.09044010192155838,0.08084496110677719,0,0,0,0.00045325651764871466,0.0003118890817439352,0.28978115205589094,approaching,0.7410227060317993,0,0.0004105872660875587
6,0.6304064691066742,0.8433763802051544,0.6341014057397842,0.6225651726126671,0.38646528489887716,0.08791552484035492,0.7395746111869812,0.09122469276189804,0.08128511905670166,0,0,0,0.0004879625141620547,0.00043514048443661884,0.28995344314432575,approaching,0.7395746111869812,0,0.0008985497802496134
7,0.6309702843427658,0.8445841044187545,0.6353912055492401,0.6227020248770714,0.3861730302870274,0.08746977895498276,0.740578293800354,0.09142352640628815,0.08052843064069748,0,0,0,-0.00029225461184978485,-7.40360829638637e-05,0.2896750069863923,approaching,0.740578293800354,0,0.0006062951683998286
8,0.6315225660800934,0.8456391960382461,0.636200949549675,0.6242097541689873,0.38650324285030363,0.0870569571852684,0.7407985329627991,0.09122663736343384,0.08091787993907928,0,0,0,0.00033021256327625537,0.00020893796940421963,0.28909351713355097,approaching,0.7407985329627991,0,0.0009365077316760839
9,0.630615770816803,0.8444036662578582,0.6344175189733505,0.623105600476265,0.3863163199275732,0.08735281974077225,0.7408766746520996,0.0907377079129219,0.08103275299072266,0,0,0,-0.00018692292273042588,-6.81646550900322e-05,0.2889377527514084,approaching,0.7408766746520996,0,0.000749584808945658
10,0.6299513280391693,0.8424009799957275,0.632416620850563,0.6215408965945244,0.386080786883831,0.08839409798383713,0.7397417426109314,0.09060031175613403,0.08126380294561386,0,0,0,-0.00023553304374218653,-0.0001853225271465402,0.2890481038052422,approaching,0.7397417426109314,0,0.0005140517652034715
11,0.6302065402269363,0.8428322792053222,0.6318975687026978,0.6217194348573685,0.3857711981236935,0.08834611624479294,0.7406436800956726,0.08985276520252228,0.08115743100643158,0,0,0,-0.0003095887601375358,-0.0002723088902402371,0.28932430317821073,approaching,0.7406436800956726,0,0.00020446300506593573
