timestep,sim_initial,sim_approaching,sim_picking,sim_done,state_progress,state_prob_initial,state_prob_approaching,state_prob_picking,state_prob_done,done_detected,red_on_blue,task_complete,bidirectional_raw,bidirectional_ema,distance,current_state,state_confidence,done_confidence,episode_progress
0,0.6309564262628555,0.8378240883350372,0.6290379017591476,0.95,0.8062154076062142,0.029244592413306236,0.23145169019699097,0.028688879683613777,0.710614800453186,1,1,1,0.0021648385562001993,0.0015061138420061943,0.20996312949165816,done,0.710614800453186,5,0.0
1,0.6306632459163666,0.8375409662723541,0.6291240155696869,0.95,0.8065929039753974,0.029179850593209267,0.23096266388893127,0.028734145686030388,0.7111233472824097,1,1,1,0.0003774963691831612,0.0007160816110300712,0.21061976906822888,done,0.7111233472824097,5,0.0003774963691831612
2,0.6294208914041519,0.8365430653095245,0.6283230930566788,0.95,0.8080118998512625,0.02890288643538952,0.2293304204940796,0.028587330132722855,0.713179349899292,1,1,1,0.0014189958758651366,0.001208121596414617,0.21145877390369916,done,0.713179349899292,5,0.0017964922450482979
3,0.6307186782360077,0.8372938752174377,0.6283896565437317,0.95,0.8068805831484497,0.029218368232250214,0.23056864738464355,0.028545716777443886,0.7116672992706299,1,1,1,-0.0011313167028128568,-0.0004294852130446145,0.21241438648153574,done,0.7116672992706299,5,0.0006651755422354411
4,0.6328471899032593,0.8402220129966735,0.630886971950531,0.95,0.8030388638377189,0.02960413321852684,0.23548850417137146,0.029029488563537598,0.7058779001235962,1,1,1,-0.00384171931073074,-0.0028180490814249024,0.2134415248592696,done,0.7058779001235962,5,-0.003176543768495299
5,0.6343697607517242,0.8424950510263443,0.6335456669330597,0.95,0.8000290603935718,0.029859738424420357,0.23931093513965607,0.029614686965942383,0.701214611530304,1,1,1,-0.003009803444147141,-0.002952277135330469,0.2145095304217325,done,0.701214611530304,5,-0.00618634721264244
6,0.6342225521802902,0.8429142355918884,0.6340174973011017,0.95,0.799573960416019,0.02978302724659443,0.24005189538002014,0.029722008854150772,0.7004430890083313,1,1,1,-0.0004550999775527753,-0.0012042531248860836,0.2155976664939792,done,0.7004430890083313,5,-0.0066414471901952155
7,0.6336169987916946,0.8416364908218383,0.6337694227695465,0.95,0.8011636409536004,0.02970125898718834,0.23778916895389557,0.029746558517217636,0.702763020992279,1,1,1,0.0015896805375813505,0.0007515004388411201,0.2166919583353171,done,0.702763020992279,5,-0.005051766652613865
8,0.6337717473506927,0.8414109021425247,0.6331588625907898,0.95,0.8014031775295735,0.029767239466309547,0.23741252720355988,0.02958536148071289,0.703234851360321,1,1,1,0.0002395365759730872,0.0003931257348334971,0.21778300981746582,done,0.703234851360321,5,-0.004812230076640778
9,0.6357349455356598,0.8445569992065429,0.6369840502738953,0.95,0.797240406703204,0.030076712369918823,0.24273547530174255,0.03045477904379368,0.6967329978942871,1,1,1,-0.004162770826369511,-0.002796001858008608,0.21886451065567336,done,0.6967329978942871,5,-0.008975000903010288
10,0.6362364143133163,0.8447168290615081,0.6366427689790726,0.95,0.7969517698138953,0.030214771628379822,0.24301788210868835,0.03033778816461563,0.6964295506477356,1,1,1,-0.000288636889308691,-0.0010408463799186662,0.2199322230762636,done,0.6964295506477356,5,-0.00926363779231898
11,0.6378999799489975,0.8448674350976944,0.637039989233017,0.95,0.7963621228002011,0.030691111460328102,0.2431424856185913,0.030428307130932808,0.6957381367683411,1,1,1,-0.0005896470136941279,-0.0007250068235614894,0.22098329743091166,done,0.6957381367683411,5,-0.009853284806013107
12,0.6379170417785645,0.8439491808414459,0.6355918943881989,0.95,0.7974525303952396,0.030778050422668457,0.2415613830089569,0.030070656910538673,0.6975899338722229,1,1,1,0.0010904075950384229,0.0005457832694584491,0.22201581171244072,done,0.6975899338722229,5,-0.008762877210974684
13,0.6389571279287338,0.8447341442108154,0.6370072662830353,0.95,0.7962546724081039,0.031017521396279335,0.2428203821182251,0.030418574810028076,0.6957435011863708,1,1,1,-0.0011978579871356754,-0.0006747656101574379,0.22302846262792456,done,0.6957435011863708,5,-0.00996073519811036
14,0.6404343992471695,0.8470456272363662,0.6401626318693161,0.95,0.7931387172453106,0.03125673905014992,0.24674303829669952,0.031171927228569984,0.6908283233642578,1,1,1,-0.0031159551627932824,-0.0023835982970025287,0.2240006173548583,done,0.6908283233642578,5,-0.013076690360903642
15,0.6405674368143082,0.8480515450239181,0.6403200924396515,0.95,0.7919473937153816,0.031217636540532112,0.24859492480754852,0.0311405211687088,0.6890469193458557,1,1,1,-0.0011913235299290115,-0.0015490059600510666,0.2249479231121244,done,0.6890469193458557,5,-0.014268013890832654
16,0.6405483037233353,0.8469539850950241,0.640002429485321,0.95,0.7932213080301881,0.031299885362386703,0.2465762346982956,0.03112950548529625,0.690994381904602,1,1,1,0.0012739143148065013,0.0004270382323492308,0.22589175492006303,done,0.690994381904602,5,-0.012994099576026152
17,0.6399935334920883,0.8466946303844451,0.6389070749282837,0.95,0.79369678709656,0.03116259165108204,0.24622105062007904,0.030825849622488022,0.6917905211448669,1,1,1,0.00047547906637190884,0.00046094681616510544,0.22682021123934018,done,0.6917905211448669,5,-0.012518620509654244
18,0.6400003731250763,0.8472894102334976,0.6395043432712555,0.95,0.7929924000054598,0.031113211065530777,0.24728034436702728,0.03095925599336624,0.6906471848487854,1,1,1,-0.0007043870911002115,-0.0003547869189206163,0.22772822145647892,done,0.6906471848487854,5,-0.013223007600754455
19,0.6389819085597992,0.8467682272195816,0.6369276195764542,0.95,0.7939366711303592,0.03087168000638485,0.24658383429050446,0.030243951827287674,0.69230055809021,1,1,1,0.0009442711248993652,0.0005545537117533706,0.2286137274983982,done,0.69230055809021,5,-0.01227873647585509
20,0.6377529799938202,0.8456426978111267,0.6343990862369537,0.95,0.7956164841912687,0.030613770708441734,0.24477671086788177,0.029604019597172737,0.695005476474762,1,1,1,0.0016798130609095852,0.0013422352561627206,0.22947596427724443,done,0.695005476474762,5,-0.010598923414945505
21,0.6394595205783844,0.8478187590837478,0.637396976351738,0.95,0.7925973118655384,0.030929939821362495,0.24846887588500977,0.03029855526983738,0.6903025507926941,1,1,1,-0.003019172325730346,-0.0017107500511624257,0.2303146963169764,done,0.6903025507926941,5,-0.01361809574067585
22,0.6389454156160355,0.8475714296102523,0.6367149949073792,0.95,0.7930327494628727,0.03080148436129093,0.24809770286083221,0.030122091993689537,0.6909787058830261,1,1,1,0.00043543759733433163,-0.00020841869721469568,0.2311298861568184,done,0.6909787058830261,5,-0.013182658143341519
23,0.6390138268470764,0.8487225145101547,0.6392344981431961,0.95,0.7915967658907175,0.03071010485291481,0.25005432963371277,0.030777953565120697,0.6884576082229614,1,1,1,-0.0014359835721552416,-0.001067714109673078,0.23192155559385952,done,0.6884576082229614,5,-0.01461864171549676
24,0.6397233009338379,0.8487354487180709,0.6404769867658615,0.95,0.7913620803691447,0.030909113585948944,0.24992786347866058,0.03114294819533825,0.6880201101303101,1,1,1,-0.0002346855215727972,-0.00048459409800288145,0.23268988324500225,done,0.6880201101303101,5,-0.014853327237069558
