timestep,sim_initial,sim_approaching,sim_picking,sim_done,state_progress,state_prob_initial,state_prob_approaching,state_prob_picking,state_prob_done,done_detected,red_on_blue,task_complete,bidirectional_raw,bidirectional_ema,distance,current_state,state_confidence,done_confidence,episode_progress
0,0.6288561224937439,0.8430080235004425,0.6293025314807892,0.6216227486729622,0.38545259013772015,0.08735872805118561,0.7436288595199585,0.08774955570697784,0.08126286417245865,0,0,0,-0.00024706281721587064,-0.00017295449281943753,0.2865089226420109,approaching,0.7436288595199585,0,0.0
1,0.6295948177576065,0.8442220360040664,0.6299611777067184,0.622363306581974,0.38523786306381225,0.08705629408359528,0.7445847392082214,0.08737584948539734,0.08098307996988297,0,0,0,-0.00021472707390790546,-0.0002021952995813651,0.2872595470520143,approaching,0.7445847392082214,0,-0.00021472707390790546
2,0.6304209232330322,0.8446073651313781,0.6315893530845642,0.6232323199510574,0.38564149327576164,0.08727763593196869,0.7431951761245728,0.08830340951681137,0.08122380077838898,0,0,0,0.00040363021194939064,0.00022188255849016388,0.2880954958547491,approaching,0.7431951761245728,0,0.00018890313804148517
3,0.6302688270807266,0.8432266533374786,0.630307674407959,0.6226742416620255,0.3856624425947666,0.08819451928138733,0.7418321371078491,0.08822880685329437,0.08174453675746918,0,0,0,2.0949319004981426e-05,8.122929085053616e-05,0.28898038644572654,approaching,0.7418321371078491,0,0.0002098524570464666
4,0.6297263503074646,0.8431211084127426,0.6304946541786194,0.6223008781671524,0.3857498968392611,0.08784032613039017,0.7420877814292908,0.08851777762174606,0.08155401796102524,0,0,0,8.745424449446704e-05,8.558675840128778e-05,0.28988821051473596,approaching,0.7420877814292908,0,0.00029730670154093364
5,0.6306765377521515,0.844216164946556,0.6318460553884506,0.6229134052991867,0.3856224002689123,0.0877387672662735,0.7423050999641418,0.08877093344926834,0.08118519186973572,0,0,0,-0.00012749657034877293,-6.357157172375472e-05,0.2908011151386424,approaching,0.7423050999641418,0,0.0001698101311921607
6,0.63144251704216,0.84484603703022,0.6323678195476532,0.623645007610321,0.3855998369306326,0.08784902840852737,0.7422260642051697,0.088665671646595,0.08125923573970795,0,0,0,-2.256333827971302e-05,-3.486580831292553e-05,0.29170717362265636,approaching,0.7422260642051697,0,0.0001472467929124477
7,0.6328931897878647,0.8464419960975647,0.6347722709178925,0.6254629343748093,0.385964410007,0.08765371888875961,0.7416530251502991,0.08931639790534973,0.08137692511081696,0,0,0,0.00036457307636739156,0.0002447414109632964,0.2925985768129356,approaching,0.7416530251502991,0,0.0005118198692798392
8,0.6318821907043457,0.8458440124988555,0.6345947086811066,0.6233996897935867,0.3854832763969898,0.08739456534385681,0.7425208687782288,0.08979757130146027,0.08028701692819595,0,0,0,-0.00048113361001017596,-0.0002633711037181342,0.2934702944031456,approaching,0.7425208687782288,0,3.0686259269663285e-05
9,0.6311146467924118,0.8450908184051513,0.6347436457872391,0.6216801553964615,0.3852451726049185,0.08737951517105103,0.7424992322921753,0.09060872346162796,0.0795125812292099,0,0,0,-0.00023810379207134247,-0.00024568398556537997,0.29431913248518776,approaching,0.7424992322921753,0,-0.00020741753280167918
10,0.6301166415214539,0.8449546664953231,0.6345368921756744,0.6212969869375229,0.38539533980190754,0.08671718835830688,0.7432499527931213,0.09063621610403061,0.07939659059047699,0,0,0,0.00015016719698907055,3.1411842222735375e-05,0.29443963089803116,approaching,0.7432499527931213,0,-5.725033581260863e-05
11,0.6303229331970215,0.8455697268247604,0.6348744183778763,0.6212084218859673,0.38511775583028796,0.08646389842033386,0.7441142797470093,0.0904901921749115,0.07893161475658417,0,0,0,-0.00027758397161958825,-0.00018488522746689116,0.2940535723976838,approaching,0.7441142797470093,0,-0.0003348343074321969
12,0.6289853453636169,0.8435341089963913,0.6326448917388916,0.6213782876729965,0.3859150917083025,0.08687924593687057,0.7424877882003784,0.09011750668287277,0.08051539212465286,0,0,0,0.0007973358780145601,0.0005026695463701246,0.2933254821107875,approaching,0.7424877882003784,0,0.0004625015705823632
13,0.6292414218187332,0.8442828178405761,0.6329565048217773,0.6213095411658287,0.3855651620030403,0.08658002316951752,0.7435850501060486,0.08985704183578491,0.07997787743806839,0,0,0,-0.00034992970526220857,-9.41499297725086e-05,0.2923724185874008,approaching,0.7435850501060486,0,0.00011257186532015462
14,0.6285173147916794,0.84405257999897,0.631682738661766,0.6201474443078041,0.38500735752284526,0.0863349586725235,0.7451505064964294,0.08911151438951492,0.07940297573804855,0,0,0,-0.0005578044801950455,-0.0004187081150682844,0.2912757703455057,approaching,0.7451505064964294,0,-0.00044523261487489085
15,0.6286996752023697,0.8437970697879791,0.6303904205560684,0.6200036853551865,0.3846539925783873,0.08675286918878555,0.7454874515533447,0.0882321372628212,0.0795276015996933,0,0,0,-0.00035336494445797895,-0.00037296789564107057,0.2900913329401059,approaching,0.7454874515533447,0,-0.0007985975593328698
16,0.6293141841888428,0.8440427303314209,0.6309203505516052,0.6209107339382172,0.38492678582668305,0.08697790652513504,0.7446684241294861,0.08838620781898499,0.0799674466252327,0,0,0,0.00027279324829576623,7.906490511471517e-05,0.28947726690273884,approaching,0.7446684241294861,0,-0.0005258043110371036
17,0.6292491406202316,0.8442843824625015,0.6307659447193146,0.6201838329434395,0.38445494115352635,0.0868319496512413,0.7457024455070496,0.08815902471542358,0.07930658757686615,0,0,0,-0.0004718446731566961,-0.00030657179967527267,0.28921644751291375,approaching,0.7457024455070496,0,-0.0009976489841937997
18,0.6297014355659485,0.8452147960662841,0.6322603970766068,0.6203031912446022,0.3843622053414583,0.08646585792303085,0.746117353439331,0.08870702236890793,0.07870977371931076,0,0,0,-9.273581206803438e-05,-0.0001568866083502059,0.28917560397102465,approaching,0.746117353439331,0,-0.001090384796261834
19,0.6306143403053284,0.848051768541336,0.6336288750171661,0.6210872307419777,0.3836382696032524,0.08520494401454926,0.7495204210281372,0.08781257271766663,0.0774621069431305,0,0,0,-0.0007239357382058942,-0.0005538209992491877,0.2892707660306006,approaching,0.7495204210281372,0,-0.0018143205344677282
20,0.6317317485809326,0.8486199796199798,0.6356101930141449,0.6221285983920097,0.38404169857501985,0.08549582213163376,0.7479599118232727,0.088876873254776,0.07766742259263992,0,0,0,0.00040342897176742776,0.00011625398046244306,0.2894477541247427,approaching,0.7479599118232727,0,-0.0014108915627003005
21,0.632595494389534,0.8486017554998397,0.6353863030672073,0.6226992309093475,0.3839812330901623,0.08616413921117783,0.7471877336502075,0.08860267698764801,0.07804548740386963,0,0,0,-6.046548485755254e-05,-7.449645261553854e-06,0.2896709523805927,approaching,0.7471877336502075,0,-0.001471357047557853
22,0.6363485753536224,0.8515802443027496,0.6384614855051041,0.6255883276462555,0.3837056158483029,0.08677461743354797,0.7466755509376526,0.08862756192684174,0.07792221754789352,0,0,0,-0.00027561724185942715,-0.00019516696288006516,0.28991662162194487,approaching,0.7466755509376526,0,-0.0017469742894172802
23,0.63644078373909,0.8513619571924209,0.638579398393631,0.6252049058675766,0.3836083873361349,0.08700619637966156,0.7463473677635193,0.08888695389032364,0.07775949686765671,0,0,0,-9.722851216797945e-05,-0.00012661004738160516,0.2901687821874695,approaching,0.7463473677635193,0,-0.0018442028015852596
24,0.635918989777565,0.8505763083696365,0.6380852460861206,0.6255570948123932,0.38414223402738573,0.08711589872837067,0.7453194856643677,0.0890236496925354,0.07854095846414566,0,0,0,0.0005338466912508388,0.0003357096696611056,0.290416604561495,approaching,0.7453194856643677,0,-0.0013103561103344208
