timestep,stage_similarity_far,stage_similarity_approaching,stage_similarity_near,stage_similarity_touching,stage_progress,stage_prob_far,stage_prob_approaching,stage_prob_near,stage_prob_touching,bidirectional_raw,bidirectional_ema,bidirectional_norm,bidirectional_visual,distance,gt_raw,gt_norm,episode_progress
0,0.5669151007625272,0.9848838507625272,0.6908973992374728,0.5708213507625272,0.3517586936056614,0.014116271398961544,0.9224333763122559,0.04877176135778427,0.014678599312901497,-1.9959248602374746e-05,-3.622120246307703e-06,-1.0,-0.019959248602374746,0.3041199215440614,-0.000286221440931933,0.39176015691187716,0.0
1,0.5670344456358932,0.9850031956358932,0.6907780543641068,0.5709406956358932,0.3517216657474637,0.014117906801402569,0.9225406646728516,0.048661112785339355,0.01468030083924532,-3.702785819770238e-05,-8.632980939016904e-06,-1.0,-0.03702785819770238,0.30460665176166984,-0.00048673021760842206,0.3907866964766603,-3.702785819770238e-05
2,0.5671793130446624,0.9851480630446624,0.6906331869553376,0.5710855630446624,0.3516768527776003,0.014119894243776798,0.9226706027984619,0.04852714389562607,0.014682367444038391,-4.4812969863416985e-05,-1.4059979277676916e-05,-1.0,-0.044812969863416985,0.30523815827237466,-0.0006315065107048157,0.3895236834552507,-8.184082806111936e-05
3,0.5672111077069717,0.9851798577069717,0.6906013922930283,0.5711173577069717,0.35166705213487154,0.014120337553322315,0.9226990342140198,0.04849782586097717,0.014682827517390251,-9.800642728763354e-06,-1.342107879533988e-05,-0.9040753461267867,-0.009800642728763354,0.30567799111671934,-0.0004398328443446786,0.3886440177665613,-9.164147078988272e-05
4,0.5672253497753268,0.9851940997753268,0.6905871502246732,0.5711315997753268,0.35166264105588196,0.01412052009254694,0.9227118492126465,0.04848464950919151,0.014683015644550323,-4.411078989574602e-06,-1.2069578824475088e-05,-0.7011608539657468,-0.004411078989574602,0.30598200395621467,-0.00030401283949532676,0.38803599208757067,-9.605254977945732e-05
5,0.5672159330746187,0.9851846830746187,0.6905965669253813,0.5711221830746187,0.3516655106469989,0.014120393432676792,0.9227032661437988,0.04849335178732872,0.014682887122035027,2.8695911169496213e-06,-9.82870333326138e-06,-0.3647153326204561,0.0028695911169496213,0.30619114887117943,-0.00020914491496476506,0.38761770225764114,-9.31829586625077e-05
6,0.5672099034926471,0.9851786534926471,0.6906025965073529,0.5711161534926471,0.35166739862412216,0.014120315201580524,0.9226979613304138,0.04849890619516373,0.014682804234325886,1.8879771232493958e-06,-8.071201264784764e-06,-0.10084359944630317,0.0018879771232493958,0.30633460765522946,-0.00014345878405003232,0.3873307846895411,-9.12949815392583e-05
7,0.5672038866761983,0.9851726366761983,0.6906086133238017,0.5711101366761983,0.35166925325989723,0.014120225794613361,0.922692596912384,0.048504456877708435,0.01468271017074585,1.8546357750670595e-06,-6.58232570880699e-06,0.12269649218899303,0.0018546357750670595,0.3064328288977796,-9.822124255015607e-05,0.38713434220444076,-8.944034576419124e-05
8,0.5671856149577887,0.9851543649577887,0.6906268850422113,0.5710918649577887,0.3516749073937535,0.01411998737603426,0.9226762056350708,0.048521336168050766,0.014682464301586151,5.654133856280996e-06,-4.746856774043792e-06,0.39827418719739294,0.005654133856280996,0.3065000111017526,-6.718220397300412e-05,0.38699997779649475,-8.378621190791025e-05
9,0.5671982400599129,0.9851669900599129,0.6906142599400871,0.5711044900599129,0.35167101297527553,0.014120159670710564,0.9226874709129333,0.048509709537029266,0.014682642184197903,-3.894418477978778e-06,-4.6189910296340394e-06,0.8089894143367118,-0.0038944184779787783,0.30654593918968903,-4.592808793640879e-05,0.38690812162062194,-8.768063038588902e-05
10,0.5671966316040304,0.9851653816040304,0.6906158683959696,0.5711028816040304,0.3516715194284916,0.014120138250291348,0.9226860404014587,0.04851120337843895,0.014682619832456112,5.064532160869994e-07,-3.850174392775884e-06,1.0,0.0005064532160869994,0.306577335665209,-3.13964755199736e-05,0.386845328669582,-8.717417716980203e-05
11,0.5671940827546297,0.9851628327546297,0.6906184172453703,0.5711003327546297,0.3516722847521305,0.014120098203420639,0.922683835029602,0.048513494431972504,0.014682577922940254,7.653236389071338e-07,-3.1578496880234314e-06,1.0,0.0007653236389071338,0.3065988010375519,-2.1465372342877043e-05,0.38680239792489624,-8.640885353089489e-05
12,0.5671844235089869,0.9851531735089869,0.6906280764910131,0.5710906735089869,0.35167529072612524,0.014119964092969894,0.9226752519607544,0.04852241277694702,0.014682441018521786,3.0059739947185804e-06,-2.2332761356121293e-06,1.0,0.0030059739947185804,0.30661348725407955,-1.4686216527670659e-05,0.3867730254918409,-8.340287953617631e-05
13,0.5671802406726579,0.9851489906726579,0.6906322593273421,0.5710864906726579,0.35167656987905505,0.014119911007583141,0.9226713180541992,0.0485263429582119,0.014682385139167309,1.279152929800631e-06,-1.7064117758002152e-06,1.0,0.001279152929800631,0.3066235381665686,-1.0050912489067976e-05,0.38675292366686276,-8.212372660637568e-05
14,0.5671763216571352,0.9851450716571352,0.6906361783428648,0.5710825716571352,0.35167775057256223,0.01411985419690609,0.9226678609848022,0.04852989688515663,0.014682325534522533,1.1806935071856373e-06,-1.2733459833523373e-06,1.0,0.0011806935071856373,0.3066304273513819,-6.889184813285709e-06,0.3867391452972362,-8.094303309919004e-05
15,0.5671806917211328,0.9851494417211328,0.6906318082788672,0.5710869417211328,0.3516764460876584,0.014119920320808887,0.9226717948913574,0.04852591082453728,0.01468239352107048,-1.3044849038190698e-06,-1.2780168214223472e-06,0.9986257906717233,-0.0013044849038190698,0.30663515045353257,-4.723102150661074e-06,0.38672969909293486,-8.224751800300911e-05
16,0.5671803257761439,0.9851490757761439,0.6906321742238561,0.5710865757761439,0.3516765312477947,0.014119909144937992,0.9226714968681335,0.04852620139718056,0.014682382345199585,8.516013627613006e-08,-1.0735402777675756e-06,1.0,8.516013627613006e-05,0.30663839609453963,-3.2456410070658137e-06,0.38672320781092073,-8.216235786673298e-05
17,0.5671835511982571,0.9851523011982571,0.6906289488017429,0.5710898011982571,0.3516755657270551,0.014119958505034447,0.9226743578910828,0.048523273319005966,0.014682434499263763,-9.655207395820042e-07,-1.05733734703974e-06,1.0,-0.0009655207395820042,0.3066406282795775,-2.23218503786482e-06,0.386718743440845,-8.312787860631499e-05
18,0.5671833341843682,0.9851520841843682,0.6906291658156318,0.5710895841843682,0.3516756443679333,0.014119950123131275,0.9226742386817932,0.04852346330881119,0.014682425186038017,7.864087819831056e-08,-8.869406132540322e-07,1.0,7.864087819831056e-05,0.3066421674963664,-1.5392167889149988e-06,0.3867156650072672,-8.304923772811668e-05
19,0.567179134327342,0.985147884327342,0.690633365672658,0.571085384327342,0.3516768960654736,0.014119898900389671,0.9226703643798828,0.048527318984270096,0.014682372100651264,1.2516975402832031e-06,-5.661448902234469e-07,1.0,0.0012516975402832031,0.3066432299306166,-1.0624342501874828e-06,0.3867135401387668,-8.179754018783347e-05
20,0.5671792321963507,0.9851479821963507,0.6906332678036493,0.5710854821963507,0.35167690705508,0.014119893312454224,0.9226705431938171,0.04852725565433502,0.014682366512715816,1.0989606391564877e-08,-4.795747157311952e-07,1.0,1.0989606391564877e-05,0.3066439663057871,-7.363751705069532e-07,0.3867120673884258,-8.178655058144191e-05
21,0.5671789513548474,0.9851477013548474,0.6906335486451526,0.5710852013548474,0.3516769325360656,0.014119895175099373,0.9226701259613037,0.04852749779820442,0.014682367444038391,2.5480985599291017e-08,-4.038163605316222e-07,1.0,2.5480985599291017e-05,0.30664447572910136,-5.094233142544091e-07,0.3867110485417973,-8.176106959584262e-05
