timestep,stage_similarity_far,stage_similarity_approaching,stage_similarity_near,stage_similarity_touching,stage_progress,stage_prob_far,stage_prob_approaching,stage_prob_near,stage_prob_touching,bidirectional_raw,bidirectional_ema,bidirectional_norm,bidirectional_visual,distance,gt_raw,gt_norm,episode_progress
0,0.653065025806427,0.652703195810318,0.6440242975950241,0.6394143104553223,4.5265399623226176e-10,1.0,1.3716787705675415e-09,2.9029448648211602e-18,6.664461786910347e-27,-1.4512056586016397e-13,-2.949041456498025e-14,0.0,-1.4512056586016397e-10,0.30412604375098357,-0.00029953644076224917,0.39174791249803287,0.0
1,0.6508160084486008,0.6499214172363281,0.6408285796642303,0.6372369974851608,4.478534029395218e-10,1.0,1.357131518275878e-09,2.848480604953678e-18,6.673995140135064e-27,-4.800593292739941e-12,-7.451558462912244e-13,0.0,-4.800593292739941e-09,0.3046251976278049,-0.0004991538768213122,0.39074960474439024,-4.800593292739941e-12
2,0.650501623749733,0.6490272134542465,0.6415717601776123,0.6384288668632507,4.4269152871895235e-10,1.0,1.3414894750596318e-09,2.909363993169725e-18,6.878099803037379e-27,-5.1618742205694624e-12,-1.40766360243296e-12,0.0,-5.161874220569462e-09,0.3052514868420804,-0.0006262892142755438,0.38949702631583916,-9.962467513309404e-12
3,0.6538768112659454,0.6534584313631058,0.6446868777275085,0.6406948864459991,4.521379956508452e-10,1.0,1.3701151324596594e-09,2.894265051858488e-18,6.727187014083106e-27,9.446466931892856e-12,2.204559777159124e-13,0.0,9.446466931892856e-09,0.30595412917957393,-0.0007026423374935087,0.38809174164085214,-5.160005814165476e-13
4,0.651281863451004,0.651335820555687,0.6412397176027298,0.6385969370603561,4.5643053860580855e-10,1.0,1.3831228384830752e-09,2.8453637884055783e-18,6.794421998813642e-27,4.292542954963344e-12,8.312690243030271e-13,0.0,4.292542954963343e-09,0.30669824554650454,-0.0007441163669306139,0.3866035089069909,3.776542373546796e-12
5,0.651534840464592,0.651585653424263,0.6405396312475204,0.6381692737340927,4.564026941763623e-10,1.0,1.3830384615332036e-09,2.7916493677633754e-18,6.702564384930104e-27,-2.7844429446242145e-14,7.024020062406367e-13,0.0,-2.7844429446242145e-11,0.3074602157941999,-0.0007619702476953649,0.3850795684116002,3.748697944100554e-12
6,0.6530351638793945,0.652855321764946,0.641544446349144,0.639654353260994,4.5430436264936857e-10,1.0,1.376679881204268e-09,2.764119556206692e-18,6.700519817701143e-27,-2.0983315269937412e-12,2.8229197625548e-13,0.0,-2.0983315269937412e-09,0.3082241869865081,-0.0007639711923081993,0.3835516260269838,1.6503664171068127e-12
7,0.6523105204105377,0.6527365446090698,0.6401845812797546,0.63765449821949,4.598436749681428e-10,1.0,1.3934656761804831e-09,2.729228871174052e-18,6.531807584200843e-27,5.539312318774242e-12,1.0708450276332943e-12,0.0,5.5393123187742415e-09,0.30897960768473476,-0.0007554206982266498,0.3820407846305305,7.189678735881055e-12
8,0.652527391910553,0.6527133584022522,0.6406333446502686,0.6377180218696594,4.5763876538839404e-10,1.0,1.386784131973684e-09,2.741907895603265e-18,6.511780994267127e-27,-2.2049095797487767e-12,5.794818365259836e-13,0.0,-2.2049095797487767e-09,0.30971948350804396,-0.0007398758233091995,0.3805610329839121,4.984769156132278e-12
9,0.6504534482955933,0.6502978801727295,0.6385472863912582,0.6360117495059967,4.545210726173232e-10,1.0,1.3773365781233338e-09,2.7412283667300525e-18,6.559799820384545e-27,-3.1176927710708547e-12,2.4905645386457845e-14,0.0,-3.1176927710708547e-09,0.31043921025969384,-0.0007197267516498851,0.3791215794806123,1.867076385061423e-12
10,0.6516239643096924,0.6511776447296143,0.6396246552467346,0.636441245675087,4.5188801883889303e-10,1.0,1.3693576272899577e-09,2.7361298322294288e-18,6.463324596866344e-27,-2.6330537784301477e-12,-3.7378826818603294e-13,0.0,-2.6330537784301477e-09,0.31113575735044163,-0.00069654709074779,0.37772848529911673,-7.659773933687245e-13
11,0.6507995426654816,0.6494061946868896,0.6384889334440231,0.6357242912054062,4.4340811871208364e-10,1.0,1.3436609602734961e-09,2.719149055024634e-18,6.477226729576909e-27,-8.479900126809399e-12,-1.5897050469795377e-12,0.0,-8.479900126809399e-09,0.3118071465756241,-0.0006713892251824505,0.37638570684875183,-9.245877520178123e-12
12,0.6519661843776703,0.6506885141134262,0.6399422585964203,0.6369648575782776,4.444377384453803e-10,1.0,1.3467810200396002e-09,2.734794349130462e-18,6.48682017181589e-27,1.0296197332966616e-12,-1.1968063299381078e-12,0.0,1.0296197332966616e-09,0.3124520779497171,-0.0006449313740929941,0.37509584410056585,-8.216257786881461e-12
13,0.6505262553691864,0.6493935883045197,0.6382356882095337,0.6347751915454865,4.4572810624823545e-10,1.0,1.35069122553233e-09,2.72024858485387e-18,6.390291022259247e-27,1.290367802855158e-12,-8.237302100191179e-13,0.0,1.290367802855158e-09,0.3130697082048822,-0.0006176302551651469,0.37386058359023555,-6.9258899840263036e-12
14,0.6484189480543137,0.6466476321220398,0.6354751288890839,0.6333416998386383,4.4007159096838615e-10,1.0,1.3335502702105373e-09,2.684938519250666e-18,6.47697944017205e-27,-5.6565152798493095e-12,-1.5486479704936466e-12,0.0,-5.6565152798493095e-09,0.3136594779796636,-0.0005897697747813679,0.3726810440406728,-1.2582405263875613e-11
15,0.6453531384468079,0.644524097442627,0.6326974779367447,0.6305155754089355,4.4844322769597094e-10,1.0,1.3589188663232221e-09,2.7004591158791514e-18,6.508117875512902e-27,8.37163672758479e-12,-6.060526578188086e-14,0.0,8.371636727584791e-09,0.31422102502465316,-0.0005615470449895632,0.3715579499506937,-4.2107685362908225e-12
16,0.645037829875946,0.6451596617698669,0.6329919099807739,0.6310442388057709,4.5705077239518424e-10,1.0,1.385002335041463e-09,2.733584183894297e-18,6.618875025126701e-27,8.607544699213304e-12,1.2396172289673969e-12,0.0,8.607544699213304e-09,0.31475410065003806,-0.0005330756253849045,0.3704917986999239,4.396776162922481e-12
17,0.6451931297779083,0.6454858779907227,0.6340047121047974,0.6323480010032654,4.58615700613904e-10,1.0,1.389744541668847e-09,2.7808724451527283e-18,6.772673627509644e-27,1.5649282187197827e-12,1.2884138774302548e-12,0.0,1.5649282187197827e-09,0.3152585424099401,-0.0005044417599020523,0.3694829151801198,5.961704381642264e-12
18,0.6463239192962646,0.6470413208007812,0.6352998316287994,0.6330094188451767,4.625283874612305e-10,1.0,1.4016011684603313e-09,2.790031609280375e-18,6.709408369580479e-27,3.912686847326495e-12,1.6820548229146908e-12,0.0,3.912686847326495e-09,0.3157342292662911,-0.0004756868563509653,0.36853154146741784,9.874391228968759e-12
19,0.6448442786931992,0.64602430164814,0.634457141160965,0.6324077248573303,4.668286243184877e-10,1.0,1.4146321891672642e-09,2.825806757182987e-18,6.828265210168393e-27,4.30023685725714e-12,2.0747821280660582e-12,0.0,4.30023685725714e-09,0.3161810802924932,-0.0004468510262021219,0.3676378394150136,1.4174628086225899e-11
20,0.6444734930992126,0.646000474691391,0.6344028562307358,0.6318303793668747,4.700756469812472e-10,1.0,1.424471651745307e-09,2.8437251436121107e-18,6.800068825410586e-27,3.2470226627595586e-12,2.2506182082700832e-12,0.0,3.2470226627595586e-09,0.3165990261444569,-0.00041794585196369693,0.3668019477110862,1.7421650748985458e-11
21,0.6465310901403427,0.6474153399467468,0.6357515305280685,0.6328983008861542,4.6407653574663704e-10,1.0,1.4062925268731874e-09,2.8037092475040923e-18,6.666838384461721e-27,-5.9991112346101765e-12,1.0131587918380443e-12,0.0,-5.999111234610177e-09,0.31698801917491476,-0.0003889930304578626,0.3660239616501705,1.1422539514375281e-11
22,0.6469016820192337,0.6472394615411758,0.6359633803367615,0.6330293864011765,4.5902875021777275e-10,1.0,1.3909962071068094e-09,2.7948143675821565e-18,6.634954229046402e-27,-5.047785528864289e-12,1.040171437326943e-13,0.0,-5.047785528864289e-09,0.31734801137569507,-0.00035999220078031247,0.36530397724860986,6.374753985510992e-12
23,0.6489608585834503,0.6497702747583389,0.6381777226924896,0.6349449753761292,4.633795466134183e-10,1.0,1.4041804385911405e-09,2.8034954213157474e-18,6.615922189335967e-27,4.350796395645564e-12,7.410340315196247e-13,0.0,4.350796395645564e-09,0.3176789696565214,-0.0003309582808263545,0.36464206068695715,1.0725550381156556e-11
